Model,Model Version,Prompt,Artist Palette,File Name
Midjourney,6,Lunacy by Paul Henry and Félix Vallotton,Paul Henry|Félix Vallotton,flathers_Lunacy_by_Paul_Henry_and_Felix_Vallotton_--ar_32_e9b16ba7-80ce-4988-9e05-684bb9df7d74.png
Midjourney,6,Lunacy by Paul Henry and Félix Vallotton,Paul Henry|Félix Vallotton,flathers_Lunacy_by_Paul_Henry_and_Felix_Vallotton_--ar_169_891bf0c1-86d7-45fc-8a89-07c2381bcb09.png
Midjourney,6,Lunacy by Paul Henry and Lyonel Feininger,Paul Henry|Lyonel Feininger,flathers_Lunacy_by_Paul_Henry_and_Lyonel_Feininger_--ar_32_a2abfdc3-aae9-4597-bf4a-2fb9d4a80ab9.png
Midjourney,6,Lunacy by Ravi Zupa and Claude Monet,Ravi Zupa|Claude Monet,flathers_Lunacy_by_Ravi_Zupa_and_Claude_Monet_--ar_32_dee232f1-4a66-40ec-a3cb-3d1fedc0c3b3.png
Midjourney,6,Lunacy by Rene Magritte,Rene Magritte,flathers_Lunacy_by_Rene_Magritte_--ar_32_34e969aa-8b60-4a2c-9f73-b9193688e8d4.png
Midjourney,6,Lunacy by Sherin Neshat,Sherin Neshat,flathers_Lunacy_by_Shirin_Neshat_--ar_169_144f356f-9fd8-40a2-b587-7bed0eefda23.png
Midjourney,6,Lunacy by Tatsuo Miyajima,Tatsuo Miyajima,flathers_Lunacy_by_Tatsuo_Miyajima_--ar_169_c85d911b-6418-472d-9f9e-f09be5d494d5.png
Midjourney,6,Lunacy by Utagawa Hiroshige and Félix Vallotton,Utagawa Hiroshige|Félix Vallotton,flathers_Lunacy_by_Utagawa_Hiroshige_and_Felix_Vallotton_--ar_3_3a2ca7d6-434b-498e-bfcd-fec04979dbb9.png
Midjourney,6,Lunacy by Vincent van Gogh and Childe Hassam,Vincent van Gogh|Childe Hassam,flathers_Lunacy_by_Vincent_van_Gogh_and_Childe_Hassam_--ar_32_61a8f65d-2f5d-4eb5-a3e0-3d98a0f58925.png
Midjourney,6,Lunacy by Vincent van Gogh and Lyonel Feininger,Vincent van Gogh|Lyonel Feininger,flathers_Lunacy_by_Vincent_van_Gogh_and_Lyonel_Feininger_--ar_3_033c7cb7-12a2-4df3-bf9b-52fb415c21f8.png
Midjourney,6,Lunacy by James McNeil Whistler,James McNeil Whistler,flathers_Lunacy_by_James_McNeil_Whistler_--ar_32_5c3e0cfb-4264-439b-87d8-c41b3a916dda.png
Midjourney,6,Lunacy by Gordon Parks,Gordon Parks,flathers_Lunacy_by_Gordon_Parks_--ar_169_efcbaa7b-7551-4d14-a9cf-54298a7a5ea4.png
Midjourney,6,Lunacy by Auguste Rodin,Auguste Rodin,flathers_Lunacy_by_Auguste_Rodin_--ar_169_c3e99e65-d11f-45a3-8e86-05dbd2e3c682.png
Midjourney,6,Lunacy by Lucio Fontana,Lucio Fontana,flathers_Lunacy_by_Lucio_Fontana_--ar_169_bc59fe4d-3757-4e0b-8f4a-9030172f7de9.png
Midjourney,6,Lunacy by Kazimir Malevich and Félix Vallotton,Kazimir Malevich|Félix Vallotton,flathers_Lunacy_by_Kazimir_Malevich_and_Felix_Vallotton_--ar_16_ccfaf577-36c7-4621-b1ea-981608ce4c12.png
Midjourney,6,Lunacy by Vincent van Gogh and Georgia O'Keeffe,Vincent van Gogh|Georgia O'Keeffe,flathers_Lunacy_by_Vincent_van_Gogh_and_Georgia_OKeefe_--ar_32_01395f03-0045-4695-aefd-9f959f7a7bb6.png
