Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3002750,"The Holdener Site: Late Woodland, Emergent Mississippian, and Mississippian Occupations in the American Bottom Uplands (11-S-685). Vol. 26 (American Bottom Archaeology)",Warren Wittry,"Wittry, Warren",John Arnold,"=""025206416X""","=""9780252064166""",0,0.0,Illinois Transportation,Paperback,184,1994,1984,,2024/01/06,to-read,to-read (#760),to-read,,,,0,0
300518,In the Absence of the Sacred: The Failure of Technology & the Survival of the Indian Nations,Jerry Mander,"Mander, Jerry",,"=""0844669512""","=""9780844669519""",0,4.24,Peter Smith Pub Inc,Paperback,458,1999,1991,,2024/01/05,to-read,to-read (#759),to-read,,,,0,0
228250,Four Arguments for the Elimination of Television,Jerry Mander,"Mander, Jerry",,"=""0688082742""","=""9780688082741""",0,4.13,William Morrow Paperbacks,Paperback,384,1978,1977,,2024/01/05,to-read,to-read (#758),to-read,,,,0,0
209222,The Dream of the Earth,Thomas Berry,"Berry, Thomas",,"=""1578051355""","=""9781578051359""",0,4.18,Counterpoint,Paperback,264,2006,1988,,2024/01/05,to-read,to-read (#757),to-read,,,,0,0
566224,Ancient Futures: Learning from Ladakh,Helena Norberg-Hodge,"Norberg-Hodge, Helena",Peter Matthiessen,"=""0871566435""","=""9780871566430""",0,4.31,Sierra Club Books,Paperback,238,1992,1991,,2024/01/05,to-read,to-read (#756),to-read,,,,0,0
50923,When Corporations Rule the World,David C. Korten,"Korten, David C.",,"=""1887208046""","=""9781887208048""",0,4.10,Kumarian Press,Paperback,385,2001,1995,,2024/01/05,to-read,to-read (#755),to-read,,,,0,0
1602370,"The Comanches: A History, 1706-1875 (Studies in the Anthropology of North American Indians)",Thomas W. Kavanagh,"Kavanagh, Thomas W.",,"=""080327792X""","=""9780803277922""",0,4.00,University of Nebraska Press,Paperback,588,1999,1995,,2024/01/05,to-read,to-read (#754),to-read,,,,0,0
3422074,"Comanche Ethnography: Field Notes of E. Adamson Hoebel, Waldo R. Wedel, Gustav G. Carlson, and Robert H. Lowie (Studies in the Anthropology of North American Indians)",Thomas W. Kavanagh,"Kavanagh, Thomas W.",,"=""0803227647""","=""9780803227644""",0,4.33,University of Nebraska Press,Hardcover,571,2008,2008,,2024/01/05,to-read,to-read (#753),to-read,,,,0,0
10651884,A White-Bearded Plainsman: The Memoirs of Archaeologist W. Raymond Wood,W. Raymond Wood,"Wood, W. Raymond",,"=""1607811308""","=""9781607811305""",0,4.00,University of Utah Press,Hardcover,432,2011,2011,,2024/01/05,to-read,to-read (#752),to-read,,,,0,0
175358,Archaeology on the Great Plains,W. Raymond Wood,"Wood, W. Raymond",,"=""0700610006""","=""9780700610006""",0,4.25,Univ Pr of Kansas,Paperback,522,1998,1980,,2024/01/05,to-read,to-read (#751),to-read,,,,0,0
3719798,A New Deal for Southeastern Archaeology,Edwin A. Lyon,"Lyon, Edwin A.",,"=""0817307915""","=""9780817307912""",0,0.0,University Alabama Press,Paperback,304,1996,1996,,2024/01/05,to-read,to-read (#750),to-read,,,,0,0
63116245,"New Deal Archaeology in Tennessee: Intellectual, Methodological, and Theoretical Contributions",David H. Dye,"Dye, David H.","Thaddeus G. Bissett, Jessica Dalton-Carriger, Marlin F. Hawley, Jessica R. Howe, Shannon Koerner, Bernard K. Means, Michael C. Moore, Gerald F. Schroedl, Douglas W. Schwartz, Kevin E. Smith, Dawnie Wolfe Steadman, Lynne P. Sullivan, Giovanna M. Vidoli, Heather Worne","=""081738958X""","=""9780817389581""",0,0.0,University Alabama Press,Kindle Edition,379,2016,,,2024/01/05,to-read,to-read (#749),to-read,,,,0,0
2053149,A Wealth of Thought: Franz Boas on Native American Art,Franz Boas,"Boas, Franz",,"=""0295973250""","=""9780295973258""",0,4.33,Univ of Washington Pr,Hardcover,380,1995,1994,,2024/01/05,to-read,to-read (#748),to-read,,,,0,0
846210,Introduction to Handbook of American Indian Languages and Indian Linguistic Families of America North of Mexico,Franz Boas,"Boas, Franz","J. W. Powell, Preston Holder","=""0803250177""","=""9780803250178""",0,4.00,University of Nebraska Press,Paperback,221,1991,1911,,2024/01/05,to-read,to-read (#747),to-read,,,,0,0
846205,Anthropology and Modern Life,Franz Boas,"Boas, Franz",,"=""0486252450""","=""9780486252452""",0,3.96,Dover Publications,Paperback,272,1987,,,2024/01/05,to-read,to-read (#746),to-read,,,,0,0
68418683,Limits To Medicine,Ivan Illich,"Illich, Ivan",,"=""""","=""""",5,4.05,Penguin UK,Paperback,304,1977,1974,2023/07/10,2023/03/20,,,read,"The most exhaustively citation filled book that I have ever read. This thorough critique of the health professions makes the case that the decision to turn the art of healing into the cold science of medicine has done as much harm as it has alleviated. He criticizes  the way the unique individual is being replaced by the statistical person, and he investigates the over-medicalization of American society and the commodification of health. Like most critical theory, it fails to provide much direction on what to do about our predicament— but the critique is solid.",,,1,0
59808603,The Mountain in the Sea,Ray Nayler,"Nayler, Ray",,"=""0374605955""","=""9780374605957""",5,3.94,MCD,Hardcover,456,2022,2022,2023/01/21,2022/11/08,"matts-recommended, science-fiction","matts-recommended (#13), science-fiction (#1)",read,"A creative and engaging science fiction novel that serves as a compelling examination of consciousness— exploring everything from artificial intelligences to octopuses. This was only the second or third science fiction book I’ve read that felt like it understood modern technology, culture, and institutions, allowing it to deliver a lot of real-world wisdom. Probably the most enjoyable book I read in 2023. I would pay an unreasonable amount of money for a 0.5, which I won’t explain further to avoid spoilers. ",,,1,0
335455,The World of Prometheus: The Politics of Punishing in Democratic Athens,Danielle S. Allen,"Allen, Danielle S.",,"=""0691094896""","=""9780691094892""",0,3.93,Princeton University Press,Paperback,464,2002,1999,,2024/01/03,to-read,to-read (#745),to-read,,,,0,0
41795406,Irrationality: A History of the Dark Side of Reason,Justin E.H. Smith,"Smith, Justin E.H.",,"=""0691178674""","=""9780691178677""",0,3.64,Princeton University Press,Hardcover,344,2019,2019,,2024/01/02,to-read,to-read (#744),to-read,,,,0,0
256143,Microcosmographia Academica,Francis Macdonald Cornford,"Cornford, Francis Macdonald",,"=""0890053189""","=""9780890053188""",4,4.01,Ares Publications (Chicago),Paperback,32,1995,1908,2024/01/02,2023/03/22,,,read,,,,1,0
1723464,The Breakdown of Nations,Leopold Kohr,"Kohr, Leopold",,"=""1870098986""","=""9781870098984""",0,4.16,Green Books,Paperback,256,2001,1978,,2024/01/02,to-read,to-read (#743),to-read,,,,0,0
254316,Cancer Ward,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr","Nicholas Bethell, David Burg","=""""","=""""",0,4.25,VINTAGE (RAND),Paperback,576,2003,1967,,2024/01/02,to-read,to-read (#742),to-read,,,,0,0
55235,Moral Man and Immoral Society: Study in Ethics and Politics,Reinhold Niebuhr,"Niebuhr, Reinhold",Langdon Gilkey,"=""0664224741""","=""9780664224745""",0,4.11,Westminster John Knox Press,Paperback,284,2002,1932,,2024/01/02,to-read,to-read (#741),to-read,,,,0,0
16634,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Richard Winston, Clara Winston, Theodore Ziolkowski","=""0312278497""","=""9780312278496""",0,4.10,Holt Paperbacks,Paperback,558,1998,1943,,2024/01/02,to-read,to-read (#740),to-read,,,,0,0
460984,On Growth and Form,D'Arcy Wentworth Thompson,"Thompson, D'Arcy Wentworth",John Tyler Bonner,"=""""","=""""",0,4.14,Cambridge University Press,Paperback,368,1992,1917,,2024/01/02,to-read,to-read (#739),to-read,,,,0,0
109830,Man's Fate,André Malraux,"Malraux, André","Haakon Chevalier, A.R. Ferrarin","=""""","=""""",0,3.74,Vintage,Paperback,368,1990,1933,,2024/01/02,to-read,to-read (#738),to-read,,,,0,0
527756,The Man Without Qualities,Robert Musil,"Musil, Robert","Burton Pike, Solomon Apt, Sophie Wilkins, Маргарита Иванова","=""0330349422""","=""9780330349420""",0,4.19,Alfred A. Knopf,Paperback,1774,1995,1930,,2024/01/02,to-read,to-read (#737),to-read,,,,0,0
9809,Invisible Cities,Italo Calvino,"Calvino, Italo","William Weaver, Erwin Salim, ترانه یلدا","=""0156453800""","=""9780156453806""",0,4.11,Harcourt,Paperback,165,1974,1972,,2024/01/02,to-read,to-read (#736),to-read,,,,0,0
15581,Ferdydurke,Witold Gombrowicz,"Gombrowicz, Witold","Danuta Borchardt, Susan Sontag","=""0300082401""","=""9780300082401""",0,3.78,Yale University Press,Paperback,320,2000,1937,,2024/01/02,to-read,to-read (#735),to-read,,,,0,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen Snyder,"=""1101870605""","=""9781101870600""",0,3.73,Pantheon,Hardcover,274,2019,1994,,2024/01/02,to-read,to-read (#734),to-read,,,,0,0
205189,Auto-da-Fé,Elias Canetti,"Canetti, Elias",C.V. Wedgwood,"=""0374518793""","=""9780374518790""",0,4.02,"Farrar, Straus and Giroux",Paperback,464,1984,1935,,2024/01/02,to-read,to-read (#733),to-read,,,,0,0
31670930,Views of Louisiana: Together with a Journal of a Voyage up the Missouri River in 1811,Henry Marie Brackenridge,"Brackenridge, Henry Marie",,"=""""","=""""",0,3.00,Laconia Publishers,Kindle Edition,136,2016,2012,,2023/12/31,to-read,to-read (#732),to-read,,,,0,0
24133720,"Journal of a Voyage up the Missouri River, in 1811",Henry Marie Brackenridge,"Brackenridge, Henry Marie",,"=""""","=""""",0,4.00,"Cramer, Spear and Eichbaum. Pittsburgh",Kindle Edition,71,2014,2012,,2023/12/31,to-read,to-read (#731),to-read,,,,0,0
41081325,The Artificial Silk Girl,Irmgard Keun,"Keun, Irmgard",,"=""0241382963""","=""9780241382967""",4,3.66,Penguin Classics,Paperback,144,2019,1932,2023/12/30,2023/04/10,,,read,,,,1,0
10412948,After Midnight (Neversink),Irmgard Keun,"Keun, Irmgard","Geoff Wilkes, Anthea Bell","=""1935554417""","=""9781935554417""",0,3.90,Melville House,Paperback,168,2011,1937,,2023/12/29,to-read,to-read (#730),to-read,,,,0,0
42117387,Bitten: The Secret History of Lyme Disease and Biological Weapons,Kris Newby,"Newby, Kris",Coleen Marlo,"=""0062932705""","=""9780062932709""",0,3.95,HarperAudio,Audiobook,6,2019,2019,,2023/12/28,to-read,to-read (#729),to-read,,,,0,0
25891345,Designing Freedom (The CBC Massey Lectures),Stafford Beer,"Beer, Stafford",,"=""1770896074""","=""9781770896079""",3,4.17,House of Anansi Press,Kindle Edition,112,1993,1974,2023/12/25,2023/03/01,,,read,,,,1,0
