Date,Movie,Year,Letterboxd URI,Matt
8/21/2023,Fight Club,1999,https://boxd.it/2a9q,4.5
8/21/2023,Joker,2019,https://boxd.it/h4cS,3.5
8/21/2023,Knives Out,2019,https://boxd.it/jWEA,5
8/21/2023,The Batman,2022,https://boxd.it/eDGs,3.5
8/21/2023,Barbie,2023,https://boxd.it/bCLK,4
8/21/2023,Pulp Fiction,1994,https://boxd.it/29Pq,3.5
8/21/2023,Get Out,2017,https://boxd.it/eOCm,4
8/21/2023,Whiplash,2014,https://boxd.it/7bQA,4
8/21/2023,La La Land,2016,https://boxd.it/a5fa,4.5
8/21/2023,Inception,2010,https://boxd.it/1skk,4
8/21/2023,The Dark Knight,2008,https://boxd.it/2b0k,4
8/21/2023,The Truman Show,1998,https://boxd.it/18U8,4.5
8/21/2023,The Menu,2022,https://boxd.it/lScm,4
8/21/2023,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
8/21/2023,Dune,2021,https://boxd.it/fA7G,4
8/21/2023,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,3.5
8/21/2023,Spirited Away,2001,https://boxd.it/2b4m,4.5
8/21/2023,The Shining,1980,https://boxd.it/29Nu,4
8/21/2023,Oppenheimer,2023,https://boxd.it/wUow,4
8/21/2023,Baby Driver,2017,https://boxd.it/bhF2,3
8/21/2023,The Social Network,2010,https://boxd.it/17ue,4.5
8/21/2023,The Godfather,1972,https://boxd.it/2aNK,4.5
8/21/2023,Call Me by Your Name,2017,https://boxd.it/dYmm,3.5
8/21/2023,Taxi Driver,1976,https://boxd.it/2b8y,3.5
8/21/2023,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
8/21/2023,Django Unchained,2012,https://boxd.it/2cCk,3.5
8/21/2023,Se7en,1995,https://boxd.it/29zs,3.5
8/21/2023,Ratatouille,2007,https://boxd.it/27ww,4.5
8/21/2023,Arrival,2016,https://boxd.it/aNGk,4.5
8/21/2023,Blade Runner 2049,2017,https://boxd.it/b8wK,4
8/21/2023,The Lighthouse,2019,https://boxd.it/icFU,4
8/21/2023,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
8/21/2023,Us,2019,https://boxd.it/gnV6,2
8/21/2023,Drive,2011,https://boxd.it/IG,4
8/21/2023,The Matrix,1999,https://boxd.it/2a1m,3.5
8/21/2023,Soul,2020,https://boxd.it/ioLA,4
8/21/2023,Top Gun: Maverick,2022,https://boxd.it/cjr4,3
8/21/2023,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3.5
8/21/2023,Star Wars,1977,https://boxd.it/72s,3.5
8/21/2023,Dead Poets Society,1989,https://boxd.it/2aSg,5
8/21/2023,Deadpool,2016,https://boxd.it/9fOC,4
8/21/2023,Uncut Gems,2019,https://boxd.it/gXGc,4
8/21/2023,Back to the Future,1985,https://boxd.it/2b8e,4
8/21/2023,Titanic,1997,https://boxd.it/2a2k,3.5
8/21/2023,Avatar,2009,https://boxd.it/1Efm,3
8/21/2023,WALL·E,2008,https://boxd.it/1VEo,4
8/21/2023,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4.5
8/21/2023,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
8/21/2023,Up,2009,https://boxd.it/1OEc,4
8/21/2023,Nightcrawler,2014,https://boxd.it/780m,4
8/21/2023,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
8/21/2023,No Country for Old Men,2007,https://boxd.it/21ew,3.5
8/21/2023,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
8/21/2023,Tenet,2020,https://boxd.it/leq4,2.5
8/21/2023,Iron Man,2008,https://boxd.it/28dA,3.5
8/21/2023,Memento,2000,https://boxd.it/2bcK,4.5
8/21/2023,(500) Days of Summer,2009,https://boxd.it/1EmM,4
8/21/2023,Toy Story,1995,https://boxd.it/29qA,4
8/21/2023,Jurassic Park,1993,https://boxd.it/2aA2,3.5
8/21/2023,The Incredibles,2004,https://boxd.it/1XLm,4
8/21/2023,My Neighbor Totoro,1988,https://boxd.it/20eA,4
8/21/2023,Mean Girls,2004,https://boxd.it/1VNg,3.5
8/21/2023,Finding Nemo,2003,https://boxd.it/72i,4
8/21/2023,Shrek,2001,https://boxd.it/29zi,4
8/21/2023,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
8/21/2023,Requiem for a Dream,2000,https://boxd.it/29VI,3
8/21/2023,Lost in Translation,2003,https://boxd.it/2b0E,3.5
8/21/2023,Ex Machina,2015,https://boxd.it/7T2k,4
8/21/2023,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,3.5
8/21/2023,Superbad,2007,https://boxd.it/20hO,3.5
8/21/2023,There Will Be Blood,2007,https://boxd.it/20Z2,4
8/21/2023,Encanto,2021,https://boxd.it/kPRu,4.5
8/21/2023,The Martian,2015,https://boxd.it/8SeG,4
8/21/2023,Jaws,1975,https://boxd.it/2a5e,4
8/21/2023,The Departed,2006,https://boxd.it/28MA,4
8/21/2023,Schindler's List,1993,https://boxd.it/2aq2,4.5
8/21/2023,Home Alone,1990,https://boxd.it/29Fg,3.5
8/21/2023,The Big Lebowski,1998,https://boxd.it/2b6C,3.5
8/21/2023,The Devil Wears Prada,2006,https://boxd.it/2awE,4.5
8/21/2023,Léon: The Professional,1994,https://boxd.it/2b8S,4
8/21/2023,The Lobster,2015,https://boxd.it/7tnw,4
8/21/2023,Saving Private Ryan,1998,https://boxd.it/29ro,3.5
8/21/2023,12 Angry Men,1957,https://boxd.it/2auI,4.5
8/21/2023,The Royal Tenenbaums,2001,https://boxd.it/1YHU,3.5
8/21/2023,Isle of Dogs,2018,https://boxd.it/dZrW,4
8/21/2023,Mamma Mia!,2008,https://boxd.it/1Tnq,4.5
8/21/2023,Vertigo,1958,https://boxd.it/2apI,3
8/21/2023,About Time,2013,https://boxd.it/43bI,5
8/21/2023,Gladiator,2000,https://boxd.it/2b9m,4
8/21/2023,The Big Short,2015,https://boxd.it/ajZw,4
8/21/2023,Snowpiercer,2013,https://boxd.it/3Icg,4
8/21/2023,The Hangover,2009,https://boxd.it/1GjK,3.5
8/21/2023,School of Rock,2003,https://boxd.it/28xK,3.5
8/21/2023,Cars,2006,https://boxd.it/29ho,4
8/21/2023,The Green Knight,2021,https://boxd.it/kuy2,3.5
8/21/2023,Heat,1995,https://boxd.it/2bg8,3
8/21/2023,Midnight in Paris,2011,https://boxd.it/i4a,4
8/21/2023,21 Jump Street,2012,https://boxd.it/J0,3.5
8/21/2023,Sicario,2015,https://boxd.it/8i7u,4
8/21/2023,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4.5
8/21/2023,The Usual Suspects,1995,https://boxd.it/29XE,4.5
8/21/2023,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,5
8/21/2023,George of the Jungle,1997,https://boxd.it/1VQO,4.5
8/21/2023,The Battle of Algiers,1966,https://boxd.it/1IRY,4.5
8/21/2023,The Illusionist,2006,https://boxd.it/28H6,4.5
8/21/2023,Spy,2015,https://boxd.it/71Ks,4.5
8/21/2023,Night at the Museum,2006,https://boxd.it/28wi,4.5
8/21/2023,Lars and the Real Girl,2007,https://boxd.it/21tG,4.5
8/21/2023,Primer,2004,https://boxd.it/6YA,5
8/21/2023,Southpaw,2015,https://boxd.it/9Phu,3
8/21/2023,Death to Smoochy,2002,https://boxd.it/1Z5M,3
8/21/2023,Bridge of Spies,2015,https://boxd.it/9n9C,3
8/21/2023,Her,2013,https://boxd.it/4O24,4.5
8/21/2023,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,3.5
8/21/2023,The Pianist,2002,https://boxd.it/2aqc,4
8/21/2023,Inglourious Basterds,2009,https://boxd.it/1JzG,3.5
8/21/2023,The Silence of the Lambs,1991,https://boxd.it/2aHW,3.5
8/21/2023,Interstellar,2014,https://boxd.it/4VZ8,3
8/21/2023,The Green Mile,1999,https://boxd.it/2agG,3
8/21/2023,Inside Out,2015,https://boxd.it/4KHC,4
8/21/2023,The Princess Bride,1987,https://boxd.it/26EY,3.5
8/21/2023,"Synecdoche, New York",2008,https://boxd.it/23zw,3
8/21/2023,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,4
8/21/2023,What's Eating Gilbert Grape,1993,https://boxd.it/28xg,3
8/21/2023,Parallel Mothers,2021,https://boxd.it/sOP4,4
8/21/2023,The Platform,2019,https://boxd.it/mUm6,3.5
8/21/2023,The Revenant,2015,https://boxd.it/8H5e,3
8/21/2023,Paul Blart: Mall Cop,2009,https://boxd.it/1NQw,3.5
8/21/2023,Gone Baby Gone,2007,https://boxd.it/23R6,3
8/21/2023,Mulholland Drive,2001,https://boxd.it/297o,2.5
8/21/2023,Easy A,2010,https://boxd.it/17DK,3
8/21/2023,The Proposal,2009,https://boxd.it/1HiS,2.5
8/21/2023,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,3.5
8/21/2023,The Princess Diaries,2001,https://boxd.it/1XCO,2.5
8/21/2023,Chef,2014,https://boxd.it/6lCG,3.5
8/21/2023,Little Miss Sunshine,2006,https://boxd.it/29EW,5
8/21/2023,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,4
8/21/2023,The Theory of Everything,2014,https://boxd.it/7YtA,2.5
8/21/2023,Captain Phillips,2013,https://boxd.it/3GPK,3
8/21/2023,Lady Bird,2017,https://boxd.it/dGNE,3
8/21/2023,The Farewell,2019,https://boxd.it/kIky,4
8/21/2023,Minority Report,2002,https://boxd.it/2aWi,3.5
8/21/2023,Paprika,2006,https://boxd.it/23wW,4.5
8/21/2023,The Sixth Sense,1999,https://boxd.it/29Js,3
8/21/2023,The Game Plan,2007,https://boxd.it/1PDY,2.5
8/21/2023,Love Actually,2003,https://boxd.it/2aeU,3.5
8/21/2023,Minutemen,2008,https://boxd.it/1AG4,3
8/21/2023,The Pink Panther,2006,https://boxd.it/1Sys,4
8/21/2023,The Pink Panther 2,2009,https://boxd.it/1MHy,2.5
8/21/2023,Donnie Darko,2001,https://boxd.it/2b2A,3
8/21/2023,In Bruges,2008,https://boxd.it/20n8,4
8/21/2023,The Machinist,2004,https://boxd.it/248c,3.5
8/21/2023,Upstream Color,2013,https://boxd.it/4Cwc,2.5
8/21/2023,Dunkirk,2017,https://boxd.it/d0Y6,2.5
8/21/2023,Silence,2016,https://boxd.it/2cAo,3
8/21/2023,Marriage Story,2019,https://boxd.it/hJAw,1.5
8/21/2023,Toy Story 3,2010,https://boxd.it/1WRe,3
8/21/2023,The Lego Movie,2014,https://boxd.it/4pDO,4
8/21/2023,Sunshine,2007,https://boxd.it/28Xy,3.5
8/21/2023,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,3.5
8/21/2023,The Terminal,2004,https://boxd.it/2a2O,3
8/21/2023,High School Musical,2006,https://boxd.it/1V0y,3
8/21/2023,Rain Man,1988,https://boxd.it/2avw,3.5
8/21/2023,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4
8/21/2023,Ice Age,2002,https://boxd.it/2apS,3
8/21/2023,Slumdog Millionaire,2008,https://boxd.it/1S3E,3.5
8/21/2023,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,3
8/21/2023,The Imitation Game,2014,https://boxd.it/6aig,2.5
8/21/2023,Life of Pi,2012,https://boxd.it/37pC,3
8/21/2023,Finding Dory,2016,https://boxd.it/4aAA,2.5
8/21/2023,Zombieland,2009,https://boxd.it/1En6,3
8/21/2023,Now You See Me,2013,https://boxd.it/2Bsu,3.5
8/21/2023,Airplane!,1980,https://boxd.it/29yu,3.5
8/21/2023,Ghostbusters,1984,https://boxd.it/g2w,3
8/21/2023,Spaceballs,1987,https://boxd.it/29cy,2.5
8/21/2023,Groundhog Day,1993,https://boxd.it/2b3e,3.5
8/21/2023,Elf,2003,https://boxd.it/1VyK,3
8/21/2023,Napoleon Dynamite,2004,https://boxd.it/20wu,2.5
8/21/2023,The Polar Express,2004,https://boxd.it/23am,3
8/21/2023,Batman Begins,2005,https://boxd.it/2aIg,3
8/21/2023,Tropic Thunder,2008,https://boxd.it/20WM,3.5
8/21/2023,The Hunger Games,2012,https://boxd.it/2uds,3
8/21/2023,Looper,2012,https://boxd.it/ham,2.5
8/21/2023,Pitch Perfect,2012,https://boxd.it/3OsE,3
8/21/2023,Frozen,2013,https://boxd.it/3GNa,3.5
8/21/2023,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3
8/21/2023,Pig,2021,https://boxd.it/nzoW,3.5
