user_id,playlist_owner,playlist_id,playlist_name,playlist_desc,playlist_art,track_count,is_collab,is_public
1292707055,Matthew Flathers,7KK2xvRQYL4dKnPdfB0X1U,Her,,https://mosaic.scdn.co/640/ab67616d00001e020281c1e15dadbb7890ff158dab67616d00001e023349d534142b3e331ea87659ab67616d00001e0278bff419e5eef1258f07aaa7ab67616d00001e02e7dd69ac32cf313fde62cbad,25,FALSE,TRUE
1292707055,Matthew Flathers,69FROxLrWW5rtuOeMC8K2H,Steel Wool,,https://mosaic.scdn.co/640/ab67616d00001e0207a1897752cd38db3e9e43f3ab67616d00001e028303aa866967b0d7e0ec4955ab67616d00001e029bb74b4058c40a59fd33bf26ab67616d00001e02fc86b19ec17415320efea30c,26,FALSE,TRUE
1292707055,Matthew Flathers,4YueASWHU8bdVSvTW7QUdE,Ski Mountain in the Summer,,https://mosaic.scdn.co/640/ab67616d00001e024e13625fe77e851707dc670cab67616d00001e02656f6f77c55dcdecf8c26f75ab67616d00001e02b26bf9284ecd025405554197ab67616d00001e02e1101c867f96b1ad292b76f0,4,FALSE,TRUE
1292707055,Matthew Flathers,4PlkKIYHhpfROgx9wJt9m3,"Yeah I'm Weird, Deal With It",,https://mosaic.scdn.co/640/ab67616d00001e02028c3bb4b81ee71dd73d1596ab67616d00001e024adbeb26299adca766cec2c5ab67616d00001e027582716b3666a5235d5af4eaab67616d00001e02ec3d15eab5bd77027abc4b23,50,FALSE,TRUE
1292707055,Matthew Flathers,0jwssnbSWkQWPRbM2HNdjT,Way Underplayed,,https://mosaic.scdn.co/640/ab67616d00001e0227c4e28caac789aedc161e5bab67616d00001e02869bc39972763bfdfbf6a605ab67616d00001e02ba8a953a364ee630e9207071ab67616d00001e02cb742189075061999d9a17e2,33,FALSE,TRUE
1292707055,Matthew Flathers,6bo4DYyTatNpRpNjaSnqqr,Who Am I,,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84072cf44529feffa8b0feaa60,14,FALSE,TRUE
1292707055,Matthew Flathers,7a6Y0dEYmdzD36hvKY5gZu,Oh God Another Song? (Nov 2018 - Mar 2019),,https://mosaic.scdn.co/640/ab67616d00001e02005132ebc7693fd385bb8058ab67616d00001e027582716b3666a5235d5af4eaab67616d00001e02ec3d15eab5bd77027abc4b23ab67616d00001e02f379fc9f6a7ad7c248035243,531,FALSE,TRUE
1292707055,Matthew Flathers,6LI3wad7erpll4wMSkc6xH,The Heartbreak You Deserve,,https://mosaic.scdn.co/640/ab67616d00001e023e42854096da9a3b1ca901c9ab67616d00001e02b526ba531c80ed208cd428edab67616d00001e02bd02d63417be256b22bffc28ab67616d00001e02dd0a40eecd4b13e4c59988da,30,FALSE,TRUE
1292707055,Matthew Flathers,478e6W5jBzqXnkHY0Rxqv6,Schizo,,https://mosaic.scdn.co/640/ab67616d00001e023c65085a58aae2cccd892cbeab67616d00001e028aa545a0ea869940cce358b5ab67616d00001e0290b4cf8fa286aa50cebf2a4eab67616d00001e02bc9e3b023cf66fd1e9aae44c,42,FALSE,TRUE
1292707055,Matthew Flathers,5BwdgJVLkGZTm48PFeS0MN,ups final day,,https://mosaic.scdn.co/640/ab67616d00001e022242d7e703f7194c4446d0fcab67616d00001e026effa8520bc566806f680860ab67616d00001e02d35eb81a2577dbdde12dd985ab67616d00001e02d785fa246cca092598fe3c3b,65,FALSE,TRUE
1292707055,Matthew Flathers,1FpcIJ3HSQfA0xHjQk68j7,Pallor (Mar 24),,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f49466ed22f1a6493aab2493,75,FALSE,TRUE
1292707055,Matthew Flathers,7kfIb55GipBoCousvp8aFc,Debt (Nov 23),,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da849eab9bfbb254b27e4ab276aa,32,FALSE,TRUE
1292707055,Matthew Flathers,6TSzroZ8kXyoo8Dff1cmzG,Smoked (Nov 22),,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8435078ef9b1d585062bd546d0,47,FALSE,TRUE
1292707055,Matthew Flathers,7Cowri1nXu2YEToEAU0qtr,Stagnate (Nov 21),,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f209861323b9b547e9483bbd,52,FALSE,TRUE
1292707055,Matthew Flathers,1acKExdBE55PwpE4yy3R6J,EatStreet (Nov 20),,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84659e091ca924fb9b576b6bf0,86,FALSE,TRUE
1292707055,Matthew Flathers,3tx9lQyj33Npe0VGAmVHTx,Dapper (Nov 19),,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da843971877b15082d48aad761e1,57,FALSE,TRUE
1292707055,Matthew Flathers,3NTMuG81XJdGosarEThzDJ,"Emergency Exit, Alarm Will Sound",,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b400d46eebad790463707f07,35,FALSE,TRUE
1292707055,Matthew Flathers,4LMgntTP6vsjkiEvvlHAbj,Yellow,,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da846cad4745d0bf2594fb6687c6,74,FALSE,TRUE
1292707055,Matthew Flathers,4wsBIj6PQgvgNEdE2Ky8OT,The Young Pope,Songs I liked from the TV Show The Young Pope,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f2ac5a21e21a897c6e82a77b,17,FALSE,TRUE
1292707055,Matthew Flathers,35ZDFOdM7nIA2TyC8HwP2l,Country Pop,,https://mosaic.scdn.co/640/ab67616d00001e020429daba876ee55ad630212aab67616d00001e02121a8cd2ca5ea19cc5458065ab67616d00001e0222518642cedf0a572532db71ab67616d00001e02f0d9f552f55d802413da1002,22,FALSE,TRUE
